"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20507","Homepage","firefox","Mon Jul 07 10:07:12 IST 2025","passed","Mon Jul 07 10:07:32 IST 2025","","flipkart.spec.js","",""
"","162455","Homepage","Google Chrome","Sat Jul 05 12:07:01 IST 2025","passed","Sat Jul 05 12:09:43 IST 2025","","flipkart.spec.js","",""
"","24034","Homepage","webkit","Mon Jul 07 10:09:13 IST 2025","passed","Mon Jul 07 10:09:37 IST 2025","","flipkart.spec.js","",""
"","28792","Homepage","chromium","Mon Jul 07 10:04:03 IST 2025","passed","Mon Jul 07 10:04:32 IST 2025","","flipkart.spec.js","",""
"","20902","Homepage","Microsoft Edge","Mon Jul 07 10:11:26 IST 2025","passed","Mon Jul 07 10:11:47 IST 2025","","flipkart.spec.js","",""
